Index Date,Price
756,69.912048
757,69.449432
758,69.479301
759,69.941895
760,69.419609
761,69.912048
762,69.725517
763,68.852554
764,68.598846
765,67.63636
766,68.091484
767,67.703514
768,68.106407
769,67.472214
770,67.979584
771,67.457268
772,66.464935
773,65.785957
774,65.674042
775,66.405243
776,66.375366
777,66.061401
778,65.93428
779,64.95488
780,65.141769
781,64.902534
782,65.186661
783,64.603508
784,63.945595
785,64.34182
786,65.081978
787,65.358597
788,65.141769
789,65.119362
790,66.315605
791,66.053925
792,66.23333
793,66.23333
794,65.881981
795,65.777283
796,65.306282
797,65.46328
798,66.270744
799,67.317451
800,67.354805
801,67.631439
802,67.339828
803,67.691231
804,67.57164
805,67.616493
806,67.332359
807,66.906219
808,67.302467
809,67.878151
810,67.280037
811,66.951065
812,66.323044
813,66.009071
814,65.904366
815,65.418388
816,65.074486
817,64.072678
818,63.811024
819,62.540028
820,62.719463
821,62.876461
822,63.736237
823,62.898861
824,62.816647
825,63.011024
826,63.773643
827,64.566109
828,63.773643
829,64.34182
830,63.437172
831,63.616634
832,64.207237
833,64.184814
834,64.872665
835,65.096924
836,64.812828
837,64.080147
838,64.274521
839,63.691368
840,62.545082
841,62.597523
842,63.676403
843,62.702385
844,61.593559
845,62.867226
846,62.949631
847,62.964649
848,63.781265
849,63.601463
850,63.871193
851,63.421669
852,63.466591
853,63.736343
854,63.451611
855,63.638966
856,63.234356
857,63.451611
858,63.09951
859,63.361736
860,63.226868
861,63.661411
862,64.328217
863,64.762772
864,65.002518
865,64.800232
866,64.972549
867,64.710342
868,64.52301
869,64.238297
870,64.208328
871,64.223328
872,63.166893
873,62.844746
874,63.256836
875,63.054562
876,63.294304
877,63.668884
878,64.238297
879,64.972549
880,65.302216
881,65.422081
882,65.961517
883,65.497002
884,64.96505
885,64.905128
886,64.43309
887,63.668884
888,63.519039
889,63.571507
890,64.373169
891,66.958023
892,66.545914
893,66.006477
894,65.474525
895,66.253731
896,66.680786
897,67.429985
898,67.055382
899,67.242699
900,67.512413
901,67.782135
902,68.329063
903,69.21312
904,69.887436
905,70.090141
906,70.090141
907,70.270294
908,71.15609
909,71.553925
910,72.004318
911,71.23114
912,71.659012
913,71.388786
914,70.900841
915,71.396294
916,71.523918
917,71.659012
918,71.103516
919,71.689056
920,70.74321
921,71.974304
922,71.884232
923,72.875107
924,73.318016
925,72.139458
926,72.552353
927,73.197906
928,72.567345
929,72.402199
930,73.047752
931,73.06279
932,73.152832
933,72.214539
934,72.477249
935,72.83007
936,73.272972
937,73.355537
938,73.190399
939,73.790939
940,73.700874
941,73.790939
942,74.001114
943,73.378052
944,72.589851
945,72.439728
946,72.214539
947,71.899239
948,71.824173
949,71.313705
950,71.471367
951,70.900841
952,70.638092
953,71.238655
954,69.887436
955,69.81237
956,69.346962
957,68.904076
958,69.204353
959,69.024178
960,69.046715
961,69.729797
962,70.127663
963,70.457977
964,70.788246
965,70.217751
966,70.945885
967,70.960884
